keyboard_smash,mood
asdfghjkl,mild anxiety
dfkjsdf,existential dread
AAAAAAAAAAA,too much coffee
fjdslkfjweiru,keyboard rage
aklsjdklqwueioqwe,panic mode
mewjfwejfwejf,cat walked on keyboard
ppppppppppp,boredom loop
LOLOLOLOLOL,chaotic joy
............,numbness
🥲🥲🥲,emotional resignation
asdlfkjqwe,mental overload
aaaasdfaaa,frustrated focus
UGHGHGHGHGHG,rage quit imminent
zzzzzzzzzz,burnout creeping
WTFWTFWTF,peak stress
aaaaaaaeeeeeeiiiii,emotional spiral
!!!??!!!??,confusion meltdown
lolololol,delirious amusement
aaaaaaaahhhhhhh,silent screaming
qwertyuiop,barely holding it together
yessureokay,barely holding it together
PANIC,peak stress
zzzzzz,burnout creeping
asdjkl,mild anxiety
BOOMBOOM,mental overload
internalSCREAM,silent screaming
NOOOOO,rage quit imminent
UUUGGGHH,keyboard rage
BOOMBOOM,mental overload
xjcksdmfjwe,cat walked on keyboard
FINEIMFINE,barely holding it together
AAAAHHHH,silent screaming
aaaaaaaeeeeeeiiiii,emotional spiral
.....,numbness
....,boredom loop
whywhywhy,emotional spiral
ZOOOOOM,too much coffee
focusfocus,frustrated focus
confusionloop,emotional spiral
asdfasdf,mild anxiety
zzzzzz,burnout creeping
REDALERT,peak stress
sure,emotional resignation
slammedkey,rage quit imminent
tired123,burnout creeping
whatever,emotional resignation
qwertyuiop,barely holding it together
dfjsdkfjs,peak stress
FMLFML,rage quit imminent
whatamidoing,emotional spiral
silentcry,silent screaming
AAAGHHH,too much coffee
asdfklqwer,mental overload
zxcasdqwe,mild anxiety
AAAAAAAA,too much coffee
asdfasdfasdf,boredom loop
LOLOL,chaotic joy
stuckagain,frustrated focus
whisperSOB,silent screaming
FMLFML,rage quit imminent
mjffwekl,cat walked on keyboard
internalSCREAM,silent screaming
DFJEIWUR,panic mode
whatdayisit,mental overload
qwertyuiop,barely holding it together
aaaaaaaeeeeeeiiiii,emotional spiral
FUUUUU,keyboard rage
zxcasdqwe,mild anxiety
sdfasdf,frustrated focus
pppppppp,boredom loop
whatever,emotional resignation
whatever,emotional resignation
whatever,emotional resignation
UGHGHGHGH,rage quit imminent
RUNRUNRUN,panic mode
NOOOOO,rage quit imminent
UGHGHGHGH,rage quit imminent
sdkfj???,existential dread
omglmao,delirious amusement
LOLOL,chaotic joy
ZOOOOOM,too much coffee
UGHGHGHGH,rage quit imminent
faded,burnout creeping
REDALERT,peak stress
???!,confusion meltdown
asdfklqwer,mental overload
asdfasdf,mild anxiety
.....,numbness
WTFWTF,keyboard rage
silentcry,silent screaming
REDALERT,peak stress
FMLFML,rage quit imminent
IDKIDK,confusion meltdown
asdjkl,mild anxiety
UUUGGGHH,keyboard rage
xD,delirious amusement
???!,confusion meltdown
whatamidoing,emotional spiral
HHHHHHHHHH,too much coffee
BOOMBOOM,mental overload
whywhywhy,emotional spiral
........,numbness
djskfjdsklj,keyboard rage
!!!??!!!??,confusion meltdown
zzzzzzz,boredom loop
qweqwe,mild anxiety
ok.,emotional resignation
dfkjsdf,existential dread
silentcry,silent screaming
PANIC,peak stress
UGHGHGHGH,rage quit imminent
dfkjsdf,existential dread
cannotcompute,mental overload
tired123,burnout creeping
aaaasdfaaa,frustrated focus
whatever,emotional resignation
FINEIMFINE,barely holding it together
whatiseven,existential dread
DFJEIWUR,panic mode
pawpawpaw,cat walked on keyboard
DFJEIWUR,panic mode
aaaasdfaaa,frustrated focus
roflrofl,chaotic joy
PANIC,peak stress
AAAGHHH,too much coffee
mjffwekl,cat walked on keyboard
qweqwe,mild anxiety
roflrofl,chaotic joy
brain.exe,mental overload
dfkjsdf,existential dread
zzzzzzz,boredom loop
xD,delirious amusement
slammedkey,rage quit imminent
LOLOL,chaotic joy
whatiseven,existential dread
NOOOOO,rage quit imminent
FINEIMFINE,barely holding it together
confusionloop,emotional spiral
lostagain,confusion meltdown
whatiseven,existential dread
djskfjdsklj,keyboard rage
PANIC,peak stress
AHHHHH,peak stress
UGHGHGHGH,rage quit imminent
ehehehehe,delirious amusement
HAHAHA,chaotic joy
sure,emotional resignation
mewjfwejfwejf,cat walked on keyboard
ok.,emotional resignation
omglmao,delirious amusement
xjcksdmfjwe,cat walked on keyboard
huh???,confusion meltdown
whywhywhy,emotional spiral
qwertyuiop,barely holding it together
asdfklqwer,mental overload
....,boredom loop
zxcasdqwe,mild anxiety
........,numbness
whatever,emotional resignation
RUNRUNRUN,panic mode
REDALERT,peak stress
whatamidoing,emotional spiral
BOOMBOOM,mental overload
???!,confusion meltdown
whisperSOB,silent screaming
HAHAHA,chaotic joy
aklsjdklqwueioqwe,panic mode
AAAAHHHH,silent screaming
omglmao,delirious amusement
.....,numbness
cannotcompute,mental overload
ok.,emotional resignation
HELPHELP,panic mode
whisperSOB,silent screaming
WTF,peak stress
asdfklqwer,mental overload
LSDKFJLSKDJF,keyboard rage
HAHAHA,chaotic joy
whatever,emotional resignation
DFJEIWUR,panic mode
sdkfj???,existential dread
qweqwe,mild anxiety
aklsjdklqwueioqwe,panic mode
PANIC,peak stress
lostagain,confusion meltdown
!!!??!!!??,confusion meltdown
huh???,confusion meltdown
🥲🥲🥲,emotional resignation
REDALERT,peak stress
aklsjdklqwueioqwe,panic mode
huh???,confusion meltdown
yessureokay,barely holding it together
FFFUUU,frustrated focus
sdkfj???,existential dread
XDXDXD,chaotic joy
FFFUUU,frustrated focus
ok.,emotional resignation
internalSCREAM,silent screaming
omglmao,delirious amusement
ok.,emotional resignation
qwertyuiop,barely holding it together
omglmao,delirious amusement
silentcry,silent screaming
spiralspiral,emotional spiral
holdingon,barely holding it together
dfjsdkfjs,peak stress
............,numbness
whatiseven,existential dread
DFJEIWUR,panic mode
zxcasdqwe,mild anxiety
sdkfjasdklf,panic mode
mjffwekl,cat walked on keyboard
WTF,peak stress
spiralspiral,emotional spiral
holdingon,barely holding it together
qwertyuiop,barely holding it together
REDALERT,peak stress
brain.exe,mental overload
???!,confusion meltdown
mjffwekl,cat walked on keyboard
FMLFML,rage quit imminent
whywhywhy,emotional spiral
REDALERT,peak stress
............,numbness
fine,emotional resignation
asdfghjkl,mild anxiety
asdfklqwer,mental overload
WTFWTF,keyboard rage
???!,confusion meltdown
DFJEIWUR,panic mode
